Namespace(annealing_epochs=1000, beta1=0.96, beta2=0.999, checkpoint_freq=500, clip_norm=10.0, cuda=False, iaf_dim=100, jit=False, learning_rate=0.0003, load_model='', load_opt='', log='dmm.log', lr_decay=0.99996, mini_batch_size=20, minimum_annealing_factor=0.2, num_epochs=5000, num_iafs=0, rnn_dropout_rate=0.1, save_model='Easiest', save_opt='', tmc=False, tmc_num_samples=10, tmcelbo=False, weight_decay=2.0)
N_train_data: 10     avg. training seq. length: 8.00    N_mini_batches: 1
[training epoch 0000]  63.5603 				(dt = 0.471 sec)
[training epoch 0001]  63.1630 				(dt = 0.145 sec)
[training epoch 0002]  63.1472 				(dt = 0.137 sec)
[training epoch 0003]  62.9132 				(dt = 0.137 sec)
[training epoch 0004]  62.7878 				(dt = 0.129 sec)
[training epoch 0005]  62.6326 				(dt = 0.125 sec)
[training epoch 0006]  62.5043 				(dt = 0.130 sec)
[training epoch 0007]  61.9190 				(dt = 0.128 sec)
[training epoch 0008]  61.6613 				(dt = 0.139 sec)
[training epoch 0009]  61.4365 				(dt = 0.134 sec)
[training epoch 0010]  61.2529 				(dt = 0.190 sec)
[training epoch 0011]  61.2036 				(dt = 0.225 sec)
[training epoch 0012]  61.0530 				(dt = 0.245 sec)
[training epoch 0013]  60.7159 				(dt = 0.132 sec)
[training epoch 0014]  60.4396 				(dt = 0.146 sec)
[training epoch 0015]  60.1350 				(dt = 0.133 sec)
[training epoch 0016]  59.7535 				(dt = 0.126 sec)
[training epoch 0017]  59.6289 				(dt = 0.131 sec)
[training epoch 0018]  59.1513 				(dt = 0.131 sec)
[training epoch 0019]  58.9555 				(dt = 0.131 sec)
[training epoch 0020]  58.7967 				(dt = 0.132 sec)
[training epoch 0021]  58.3689 				(dt = 0.132 sec)
[training epoch 0022]  58.0288 				(dt = 0.132 sec)
[training epoch 0023]  57.8259 				(dt = 0.152 sec)
[training epoch 0024]  57.2971 				(dt = 0.191 sec)
[training epoch 0025]  56.9357 				(dt = 0.135 sec)
[training epoch 0026]  56.8104 				(dt = 0.130 sec)
[training epoch 0027]  56.1282 				(dt = 0.130 sec)
[training epoch 0028]  55.9754 				(dt = 0.131 sec)
[training epoch 0029]  55.4040 				(dt = 0.137 sec)
[training epoch 0030]  55.2943 				(dt = 0.132 sec)
[training epoch 0031]  54.6024 				(dt = 0.159 sec)
[training epoch 0032]  54.0511 				(dt = 0.124 sec)
[training epoch 0033]  53.2545 				(dt = 0.136 sec)
[training epoch 0034]  52.4969 				(dt = 0.132 sec)
[training epoch 0035]  52.3572 				(dt = 0.131 sec)
[training epoch 0036]  50.8876 				(dt = 0.134 sec)
[training epoch 0037]  49.6266 				(dt = 0.134 sec)
[training epoch 0038]  48.4767 				(dt = 0.172 sec)
